TABLA,CONTEO,FECHA,FECHA_MAXIMA
QP_PRICE_LISTS_TL,1700,2022-07,"2022-07-31 23:07:27"
QP_PRICE_LISTS_TL,4730,2022-08,"2022-08-30 14:08:32"
QP_PRICE_LISTS_TL,120,2022-09,"2022-09-29 23:09:31"
QP_PRICE_LISTS_TL,180,2022-10,"2022-10-27 16:10:17"
QP_PRICE_LISTS_TL,130,2022-11,"2022-11-04 18:11:08"
QP_PRICE_LIST_CHARGES,8954,2022-06,"2022-06-30 23:06:49"
QP_PRICE_LIST_CHARGES,55479,2022-07,"2022-07-31 23:07:35"
QP_PRICE_LIST_CHARGES,105495,2022-08,"2022-08-31 23:08:42"
QP_PRICE_LIST_CHARGES,97278,2022-09,"2022-09-30 22:09:36"
QP_PRICE_LIST_CHARGES,16273,2022-10,"2022-10-31 23:10:06"
QP_PRICE_LIST_CHARGES,6958,2022-11,"2022-11-05 01:11:18"
QP_PRICE_LIST_ITEMS,2332,2022-06,"2022-06-30 23:06:49"
QP_PRICE_LIST_ITEMS,47963,2022-07,"2022-07-31 23:07:34"
QP_PRICE_LIST_ITEMS,99886,2022-08,"2022-08-31 23:08:42"
QP_PRICE_LIST_ITEMS,91139,2022-09,"2022-09-30 22:09:35"
QP_PRICE_LIST_ITEMS,13270,2022-10,"2022-10-31 23:10:06"
QP_PRICE_LIST_ITEMS,5036,2022-11,"2022-11-05 01:11:18"
WIE_OPERATION_TRANSACTIONS,291549,2022-06,"2022-06-30 23:06:56"
WIE_OPERATION_TRANSACTIONS,313482,2022-07,"2022-07-31 23:07:54"
WIE_OPERATION_TRANSACTIONS,441696,2022-08,"2022-08-31 23:08:43"
WIE_OPERATION_TRANSACTIONS,449217,2022-09,"2022-09-30 23:09:17"
WIE_OPERATION_TRANSACTIONS,517867,2022-10,"2022-10-31 23:10:51"
WIE_OPERATION_TRANSACTIONS,83537,2022-11,"2022-11-05 07:11:56"
WIE_WORK_ORDERS_B,92978,2022-06,"2022-06-30 23:06:56"
WIE_WORK_ORDERS_B,95730,2022-07,"2022-07-31 23:07:49"
WIE_WORK_ORDERS_B,113396,2022-08,"2022-08-31 23:08:05"
WIE_WORK_ORDERS_B,118491,2022-09,"2022-09-30 23:09:49"
WIE_WORK_ORDERS_B,120679,2022-10,"2022-10-31 23:10:16"
WIE_WORK_ORDERS_B,31624,2022-11,"2022-11-05 07:11:56"
WIE_WO_STATUSES_B,7,2022-10,"2022-10-23 15:10:29"
